"prod_date","duration","total","max","co2"
2023-12-11,14,19.019191,2.811025,18.962133
2023-12-12,14,26.857269,3.514215,26.776697
2023-12-13,14,26.186794,3.348383,26.108234
2023-12-14,14,24.544603,3.575947,24.470969
2023-12-15,14,25.894493,3.169999,25.816810
2023-12-16,14,22.590864,3.366127,22.523091
2023-12-17,14,20.183500,3.129924,20.122950
2023-12-18,14,27.024421,3.476912,26.943348
2023-12-19,14,26.380002,3.505921,26.300862
2023-12-20,14,28.451153,3.722697,28.365800
2023-12-21,15,20.901999,2.969785,20.839293
2023-12-22,14,21.192966,3.18222,21.129387
2023-12-23,14,22.828527,3.442751,22.760041
2023-11-27,14,16.707017,2.838507,16.656896
2023-11-28,14,17.443432,2.825953,17.391102
2023-11-29,14,15.980583,2.913932,15.932641
2023-11-30,14,22.967607,2.891785,22.898704
2023-12-01,14,26.727214,3.329167,26.647032
2023-12-02,14,27.173338,3.535149,27.091818
2023-12-03,14,27.254124,3.474068,27.172362
2023-12-04,14,24.934561,3.598983,24.859757
2023-12-05,14,17.910043,3.118262,17.856313
2023-12-06,14,24.465076,3.35642,24.391681
2023-12-07,11,15.438026,2.88984,15.391712
2023-12-08,14,23.005668,3.517243,22.936651
2023-12-09,14,17.173402,2.329014,17.121882
2023-11-13,14,24.278845,3.244482,24.206008
2023-11-14,14,24.938975,3.576387,24.864158
2023-11-15,14,26.181374,3.39011,26.102830
2023-11-16,14,21.256967,3.179884,21.193196
2023-11-17,14,24.256811,3.308787,24.184041
2023-11-18,14,22.848106,3.357814,22.779562
2023-11-19,14,11.171795,2.646764,11.138280
2023-11-20,14,21.426624,3.269251,21.362344
2023-11-21,14,22.925817,3.432465,22.857040
2023-11-22,14,21.643597,3.184964,21.578666
2023-11-23,14,16.440062,2.969146,16.390742
2023-11-24,14,6.925685,1.071417,6.904908
2023-11-25,14,10.530434,1.756974,10.498843
2023-10-30,14,19.284674,3.173083,19.226820
2023-10-31,14,14.443518,2.633222,14.400187
2023-11-01,14,15.329302,2.540456,15.283314
2023-11-02,14,24.942054,3.654799,24.867228
2023-11-03,11,16.152364,2.873903,16.103907
2023-11-04,14,23.633338,3.3808,23.562438
2023-11-05,14,29.370838,3.72817,29.282725
2023-11-06,14,28.813696,3.720544,28.727255
2023-11-07,14,28.814662,3.720296,28.728218
2023-11-08,14,27.197431,3.487441,27.115839
2023-11-09,14,22.306801,3.538098,22.239881
2023-11-10,14,22.688246,3.293483,22.620181
2023-11-11,14,26.524212,3.562041,26.444639
2023-10-16,14,22.164363,3.205534,22.097870
2023-10-17,14,9.251621,1.3353,9.223866
2023-10-18,14,19.811520,3.494702,19.752085
2023-10-19,14,19.331516,3.210389,19.273521
2023-10-20,14,16.234431,3.140996,16.185728
2023-10-21,14,25.001170,3.677825,24.926166
2023-10-22,14,26.858527,3.53445,26.777951
2023-10-23,14,25.732670,3.476334,25.655472
2023-10-24,14,21.279590,3.278943,21.215751
2023-10-25,14,14.924114,2.25257,14.879342
2023-10-26,14,17.705092,2.748147,17.651977
2023-10-27,14,18.283025,2.703156,18.228176
2023-10-28,14,17.870116,3.023169,17.816506
2023-10-02,14,10.327113,1.67623,10.296132
2023-10-03,14,14.733581,2.442476,14.689380
2023-10-04,13,12.662327,2.172641,12.624340
2023-10-05,14,15.643741,2.984502,15.596810
2023-10-06,14,21.021891,3.179587,20.958825
2023-10-07,13,12.518094,2.585657,12.480540
2023-10-08,13,11.171328,1.559617,11.137814
2023-10-09,14,13.049650,2.604024,13.010501
2023-10-10,14,26.055853,3.592113,25.977685
2023-10-11,14,24.980240,3.398384,24.905299
2023-10-12,11,10.951405,2.07778,10.918551
2023-10-13,14,6.052636,1.595694,6.034478
2023-10-14,14,12.341960,2.299243,12.304934
2023-09-18,14,18.073232,3.127298,18.019012
2023-09-19,14,21.335313,3.032119,21.271307
2023-09-20,14,19.587927,2.873532,19.529163
2023-09-21,14,21.290242,3.112653,21.226371
2023-09-22,14,20.306151,2.999125,20.245233
2023-09-23,14,19.147883,2.992415,19.090439
2023-09-24,14,21.304498,3.05906,21.240585
2023-09-25,14,19.316315,2.942216,19.258366
2023-09-26,14,18.157876,2.94971,18.103402
2023-09-27,12,12.262986,2.874496,12.226197
2023-09-28,14,8.794633,1.831942,8.768249
2023-09-29,14,17.482038,2.802856,17.429592
2023-09-30,14,20.069024,3.112718,20.008817
2023-09-04,12,17.261243,2.621834,17.209459
2023-09-05,12,10.012183,1.83486,9.982146
2023-09-06,12,18.672117,2.771112,18.616101
2023-09-07,13,18.693474,3.037117,18.637394
2023-09-08,13,20.802167,3.111225,20.739760
2023-09-09,12,12.007130,2.736185,11.971109
2023-09-10,13,14.927214,2.662459,14.882432
2023-09-11,13,20.902755,3.027002,20.840047
2023-09-12,14,20.838957,3.05565,20.776440
2023-09-13,14,20.529661,3.026996,20.468072
2023-09-14,13,4.221196,0.930535,4.208532
2023-09-15,10,9.995384,2.890077,9.965398
2023-09-16,14,21.545887,2.971485,21.481249
2023-08-21,12,14.551471,2.516926,14.507817
2023-08-22,13,16.426631,2.547115,16.377351
2023-08-23,12,13.685954,2.21361,13.644896
2023-08-24,11,11.683884,2.371059,11.648832
2023-08-25,12,15.190354,2.58461,15.144783
2023-08-26,12,5.794546,1.619341,5.777162
2023-08-27,12,2.217787,0.500461,2.211134
2023-08-28,13,10.090564,2.399587,10.060292
2023-08-29,13,15.078081,2.772572,15.032847
2023-08-30,13,18.034732,2.753691,17.980628
2023-08-31,13,15.495910,2.364277,15.449422
2023-09-01,13,19.194266,2.898845,19.136683
2023-09-02,11,12.815405,2.546243,12.776959
2023-08-07,12,14.782073,2.37549,14.737727
2023-08-08,12,11.041989,2.182135,11.008863
2023-08-09,12,13.110712,2.365243,13.071380
2023-08-10,12,13.184618,2.166078,13.145064
2023-08-11,12,14.280731,2.402715,14.237889
2023-08-12,12,11.479114,2.216709,11.444677
2023-08-13,12,6.363776,1.272592,6.344685
2023-08-14,12,11.988952,2.04776,11.952985
2023-08-15,11,0.939652,0.496009,0.936833
2023-08-16,12,10.217291,1.679771,10.186639
2023-08-17,13,14.834566,2.509093,14.790062
2023-08-18,13,14.969431,2.355136,14.924523
2023-08-19,12,12.238113,2.417879,12.201399
2023-07-24,12,13.248223,2.32977,13.208478
2023-07-25,12,10.808053,2.037259,10.775629
2023-07-26,12,14.276184,2.350861,14.233355
2023-07-27,12,11.369437,2.159601,11.335329
2023-07-28,12,13.298143,2.380031,13.258249
2023-07-29,12,7.877926,1.526273,7.854292
2023-07-30,12,14.958074,2.432614,14.913200
2023-07-31,12,15.109120,2.404248,15.063793
2023-08-01,12,14.868286,2.42203,14.823681
2023-08-02,12,15.067478,2.396531,15.022276
2023-08-03,12,14.687664,2.375764,14.643601
2023-08-04,12,15.000835,2.41333,14.955832
2023-08-05,12,15.097636,2.409328,15.052343
2023-07-10,12,7.308370,1.946322,7.286445
2023-07-11,12,13.186372,2.1949,13.146813
2023-07-12,12,12.785029,2.196363,12.746674
2023-07-13,12,13.301625,2.297966,13.261720
2023-07-14,12,14.130525,2.404038,14.088133
2023-07-15,12,14.480099,2.383851,14.436659
2023-07-16,12,12.074853,2.07138,12.038628
2023-07-17,12,11.973766,2.231452,11.937845
2023-07-18,12,6.973256,1.311491,6.952336
2023-07-19,12,6.635977,1.477418,6.616069
2023-07-20,12,14.265309,2.353862,14.222513
2023-07-21,12,13.755602,2.283394,13.714335
2023-07-22,12,14.503894,2.353861,14.460382
2023-06-26,12,13.013791,2.192584,12.974750
2023-06-27,12,13.310401,2.255596,13.270470
2023-06-28,12,12.816630,2.219356,12.778180
2023-06-29,12,12.076007,2.452397,12.039779
2023-06-30,12,12.496923,2.161415,12.459432
2023-07-01,12,13.101484,2.171012,13.062180
2023-07-02,12,13.474293,2.215518,13.433870
2023-07-03,12,12.458524,2.254297,12.421148
2023-07-04,12,13.521967,2.271317,13.481401
2023-07-05,12,13.383585,2.238021,13.343434
2023-07-06,12,13.204447,2.231483,13.164834
2023-07-07,12,13.212817,2.239615,13.173179
2023-07-08,12,12.596279,2.164679,12.558490
2023-06-12,12,12.860692,2.187513,12.822110
2023-06-13,12,4.908873,1.140123,4.894146
2023-06-14,11,2.829970,0.765926,2.821480
2023-06-15,12,3.392906,0.757967,3.382727
2023-06-16,12,3.876515,0.970581,3.864885
2023-06-17,12,12.211222,1.891352,12.174588
2023-06-18,12,14.071942,2.359987,14.029726
2023-06-19,12,13.841628,2.349889,13.800103
2023-06-20,12,13.464764,2.286457,13.424370
2023-06-21,12,13.197075,2.242895,13.157484
2023-06-22,12,13.049764,2.212271,13.010615
2023-06-23,12,12.466317,2.302487,12.428918
2023-06-24,12,12.850879,2.189087,12.812326
2023-05-29,12,10.145863,1.767749,10.115425
2023-05-30,12,5.581322,1.343954,5.564578
2023-05-31,12,1.934345,0.395542,1.928542
2023-06-01,12,11.377697,1.953035,11.343564
2023-06-02,12,14.375346,2.395638,14.332220
2023-06-03,12,14.271089,2.377496,14.228276
2023-06-04,12,14.342076,2.351828,14.299050
2023-06-05,12,14.255199,2.342648,14.212433
2023-06-06,12,13.994485,2.341762,13.952502
2023-06-07,12,13.765575,2.306162,13.724278
2023-06-08,12,13.613641,2.255412,13.572800
2023-06-09,12,13.529673,2.257988,13.489084
2023-06-10,12,13.401445,2.264031,13.361241
2023-05-15,12,15.088563,2.459545,15.043297
2023-05-16,12,14.989942,2.470611,14.944972
2023-05-17,12,5.272253,1.342609,5.256436
2023-05-18,12,3.625445,0.721149,3.614569
2023-05-19,12,3.601953,0.746464,3.591147
2023-05-20,12,3.187833,0.653837,3.178270
2023-05-21,12,3.068940,0.677359,3.059733
2023-05-22,12,5.070985,1.186593,5.055772
2023-05-23,12,11.206526,2.089712,11.172906
2023-05-24,12,12.062192,2.178506,12.026005
2023-05-25,12,11.064567,2.15007,11.031373
2023-05-26,11,12.881754,2.298881,12.843109
2023-05-27,12,12.438146,2.051369,12.400832
2023-05-01,12,15.102083,2.227946,15.056777
2023-05-02,12,14.683155,2.42184,14.639106
2023-05-03,12,16.158833,2.460579,16.110357
2023-05-04,12,16.569776,2.584454,16.520067
2023-05-05,12,16.106499,2.600172,16.058180
2023-05-06,12,15.245366,2.583802,15.199630
2023-05-07,12,15.758975,2.719565,15.711698
2023-05-08,12,14.663294,2.347983,14.619304
2023-05-09,12,12.723720,2.236262,12.685549
2023-05-10,12,9.721954,1.949288,9.692788
2023-05-11,12,12.880808,1.995987,12.842166
2023-05-12,12,12.495292,2.090014,12.457806
2023-05-13,12,15.390287,2.62301,15.344116
